phase,fold,epoch,train_loss,val_loss,best_epoch
cv,1,1,0.9120177669675877,0.7800522902485361,2
cv,1,2,0.6938773719916317,0.7764952927379455,2
cv,1,3,0.6062620851901447,0.7812590100760446,2
cv,1,4,0.5393089471124132,0.841650497411175,2
cv,1,5,0.49049374833516124,0.8783689047711544,2
cv,1,6,0.4490079008270853,0.9114597846894948,2
cv,1,7,0.4112643184550611,0.9754785140873556,2
cv,1,8,0.3858757923879159,1.032129444951638,2
cv,1,9,0.3638428893151501,1.0860349274984933,2
cv,1,10,0.33982925398889285,1.1543459272910743,2
cv,1,11,0.3267466118152693,1.2132098828419042,2
cv,1,12,0.3130822154336758,1.2290375614716273,2
cv,1,13,0.29938558007207755,1.2984547870328935,2
cv,1,14,0.2869957426924593,1.3913940884165443,2
cv,1,15,0.27627134813594867,1.4416752871921812,2
cv,1,16,0.27005982096926145,1.4918200423270314,2
cv,1,17,0.2608733394459391,1.55528339680841,2
cv,1,18,0.2526566936661117,1.5782042904387983,2
cv,1,19,0.24657161699068708,1.633795457713702,2
cv,1,20,0.24204679854060918,1.6941851755322042,2
cv,1,21,0.23195328498030213,1.7549158291089737,2
cv,1,22,0.22676453130423455,1.8111133044557561,2
cv,2,1,0.9107965641760845,0.8001931711851832,2
cv,2,2,0.6910478648369194,0.7906678139445293,2
cv,2,3,0.6040812318624635,0.8203563019932514,2
cv,2,4,0.5387782787122551,0.8542399804994284,2
cv,2,5,0.4868050013115928,0.8921993773385702,2
cv,2,6,0.4425081753898211,0.9513142397365417,2
cv,2,7,0.40620800163592197,1.0089763756018566,2
cv,2,8,0.38527738474681317,1.0531971842409618,2
cv,2,9,0.359999644231581,1.1202832631557342,2
cv,2,10,0.337627992329216,1.1944359718077633,2
cv,2,11,0.3205511191598688,1.2437496816058715,2
cv,2,12,0.30882032479084554,1.323893468303374,2
cv,2,13,0.297396184733137,1.3640697876133594,2
cv,2,14,0.2885681130487219,1.4281880458196003,2
cv,2,15,0.2767791831167473,1.5127526030961769,2
cv,2,16,0.270713627839226,1.5269099421290508,2
cv,2,17,0.2607886812532639,1.6152378749177159,2
cv,2,18,0.2514698085986435,1.6812114782601475,2
cv,2,19,0.24530710256395705,1.720460782807515,2
cv,2,20,0.24012011063855365,1.7870161961838902,2
cv,2,21,0.23378566560782316,1.8306187690501232,2
cv,2,22,0.22506027157246275,1.8649192107729164,2
cv,3,1,0.9103354548785894,0.8034095056317635,2
cv,3,2,0.6907745979565565,0.7932844387970812,2
cv,3,3,0.5994959381795444,0.8180932242987508,2
cv,3,4,0.537125260101391,0.8574123388546759,2
cv,3,5,0.48560979533183535,0.9119705803535408,2
cv,3,6,0.4434756427121055,0.9687244880163562,2
cv,3,7,0.41244932701105574,1.0346678697477014,2
cv,3,8,0.3834686997812475,1.0966042771621598,2
cv,3,9,0.36163917019387554,1.138794760287944,2
cv,3,10,0.340101488110293,1.2192786476437523,2
cv,3,11,0.32478948839932187,1.2847850413595063,2
cv,3,12,0.3124286796630356,1.3261291825305017,2
cv,3,13,0.2984989973629053,1.4017663222019268,2
cv,3,14,0.2842604806314924,1.4615839113562612,2
cv,3,15,0.2742293468833987,1.5592924412657527,2
cv,3,16,0.2698875062590081,1.5803312942041916,2
cv,3,17,0.2627445351551121,1.6288157444421123,2
cv,3,18,0.25131556192834476,1.7094684869140655,2
cv,3,19,0.24384828099520195,1.8004700228825974,2
cv,3,20,0.23929701759715924,1.8505601488360193,2
cv,3,21,0.23224471900490617,1.8292923356250392,2
cv,3,22,0.2232539061021398,1.945270595005307,2
cv,4,1,0.9050753158776531,0.8129233106029189,2
cv,4,2,0.6889661739833141,0.8014836831311644,2
cv,4,3,0.5996264243209655,0.8334435263691599,2
cv,4,4,0.5339325542014506,0.8645851815655573,2
cv,4,5,0.47969787879260534,0.9192566327608696,2
cv,4,6,0.441868442225205,0.9790884445579264,2
cv,4,7,0.4110205019620933,1.02561624369088,2
cv,4,8,0.38401944801487997,1.1217113536303356,2
cv,4,9,0.3584545779575132,1.1626496226372667,2
cv,4,10,0.337441451006419,1.230769767565139,2
cv,4,11,0.3205287924108347,1.298904375302995,2
cv,4,12,0.3060676401216542,1.3485384197567507,2
cv,4,13,0.29873527304586667,1.4235893323225386,2
cv,4,14,0.28574851076027524,1.4623667589102012,2
cv,4,15,0.27465857243155095,1.5307243197050353,2
cv,4,16,0.2641461841945246,1.6118529387558236,2
cv,4,17,0.26014770403676335,1.6684034594083383,2
cv,4,18,0.25307571457309214,1.70604389179554,2
cv,4,19,0.24582201496656372,1.7450924731096031,2
cv,4,20,0.23931364250793208,1.7974124892783858,2
cv,4,21,0.23163781939022995,1.8891182288662003,2
cv,4,22,0.2254378349859991,1.9371686755056488,2
cv,5,1,0.9124270800453456,0.8009098307435293,2
cv,5,2,0.6938411680145733,0.7904488347380995,2
cv,5,3,0.5992072351241369,0.8131665516809288,2
cv,5,4,0.5418141256650648,0.862003063581076,2
cv,5,5,0.49105216696174453,0.8904134230201982,2
cv,5,6,0.4474534154356886,0.9416488310898165,2
cv,5,7,0.4188439784072113,1.0025833313723644,2
cv,5,8,0.38526713352529873,1.0668341182321908,2
cv,5,9,0.36434945961213333,1.1150918320479641,2
cv,5,10,0.3443903891266454,1.1663003700325287,2
cv,5,11,0.3259697907964239,1.2307557975910755,2
cv,5,12,0.3100951182040948,1.3145390623305218,2
cv,5,13,0.29638664255860997,1.367154471845512,2
cv,5,14,0.2854606756477509,1.4267936099963974,2
cv,5,15,0.2774578327444343,1.4444734506817707,2
cv,5,16,0.2652998235191592,1.496146100591943,2
cv,5,17,0.26259719747662214,1.565310747508543,2
cv,5,18,0.2520673169074933,1.602210874538345,2
cv,5,19,0.24517780050900695,1.700440798179213,2
cv,5,20,0.2389764567761903,1.7310194655594577,2
cv,5,21,0.2328925083006179,1.8217510186046002,2
cv,5,22,0.23002324069251923,1.86493641736517,2
final_train,,1,0.8900135560325655,0.8900135560325655,2
final_train,,2,0.6909312200598896,0.6909312200598896,2
